contract_name,delivery_year,delivery_month,price_TRY_MWh,quote_type,source,valuation_date,weight,spot_price_TRY_MWh,ggf_quotation_date,ggf_staleness_days
EBM0823,2023,8,3083.65,monthly_baseload,EPIAS_VEP_daily_reference_price,2023-06-30,1.0,1932.0,2023-06-26,4
EBM0923,2023,9,3224.64,monthly_baseload,EPIAS_VEP_daily_reference_price,2023-06-30,1.0,,2023-06-26,4
EBM1023,2023,10,4066.03,monthly_baseload,EPIAS_VEP_daily_reference_price,2023-06-30,1.0,,2023-06-26,4
EBM1123,2023,11,3366.79,monthly_baseload,EPIAS_VEP_daily_reference_price,2023-06-30,1.0,,2023-06-26,4
EBM1223,2023,12,3639.54,monthly_baseload,EPIAS_VEP_daily_reference_price,2023-06-30,1.0,,2023-06-26,4
EBM0124,2024,1,3431.49,monthly_baseload,EPIAS_VEP_daily_reference_price,2023-06-30,1.0,,2023-06-26,4
