OLD_anchor_TRY_MWh,OLD_anchor_vs_spot_pct,OLD_spot_consistent_at_t0,OLD_ES_72h,OLD_ES_168h,OLD_ES_336h,OLD_ES_720h,OLD_call_K3000_72h,NEW_spot_TRY_MWh,NEW_spot_vs_actual_pct,NEW_spot_consistent_at_t0,NEW_ES_72h,NEW_ES_168h,NEW_ES_336h,NEW_ES_720h,NEW_call_K3000_72h,delta_ES_72h,delta_call_K3000_72h
2334.22,-20.000137090527748,False,2334.2200000092166,2334.220000009102,2334.220000009271,2326.065870021826,727.8342551964806,2334.22,-20.0,False,2388.995087254873,2462.0285369198323,2589.8370738311646,2882.4845655606478,761.6092188399555,54.77508724565632,33.77496364347485
2626.0,-10.000068545263874,False,2626.0000000010127,2626.0000000014657,2626.000000001785,2622.030217603523,975.0871196413945,2626.0,-10.0,False,2652.576214766685,2688.0111677876384,2750.0223355733756,2891.9978889901495,992.8682378148874,26.576214765672376,17.781118173492928
2917.78,0.0,True,2917.779999997806,2917.779999997032,2917.7799999983586,2917.9945652828933,1237.841901131799,2917.78,0.0,True,2916.1573422794963,2913.993798654658,2910.2075973146957,2901.5112124100174,1236.6901855613203,-1.6226577183097106,-1.1517155704787
3209.56,10.00006854526385,False,3209.560000000978,3209.560000000067,3209.559999999391,3213.9589129161177,1512.008313484165,3209.56,10.0,False,3179.7384697897137,3139.97642951852,3070.392859050116,2911.0245358375905,1489.8821770157463,-29.821530211264417,-22.126136468418736
3501.34,20.000137090527726,False,3501.3399999754315,3501.339999972887,3501.339999976424,3509.9232605254333,1794.8061084653607,3501.34,20.0,False,3443.319597309056,3365.959060399758,3230.578120801974,2920.537859276582,1750.204940273817,-58.0204026663755,-44.60116819154359
