maturity_h,strike_TRY_MWh,forward_at_expiry_TRY_MWh,expected_spot_at_expiry_TRY_MWh,residual_std_at_expiry_TRY_MWh,call_value_TRY_MWh,anchor_mode
24,3000.0,2917.779999996554,2917.779999996554,1846.0991682665087,686.3516043171987,spot_flat
72,3000.0,2917.7799999976055,2917.7799999976055,3226.850629462326,1237.8419011320464,spot_flat
168,3000.0,2917.779999998569,2917.779999998569,4864.960406029007,1882.5403724127546,spot_flat
24,3000.0,2917.239114092322,2917.239114092322,1845.920828173083,686.0219329372272,spot_to_next_linear
72,3000.0,2916.1573422794963,2916.1573422794963,3225.938446149307,1236.6901855613203,spot_to_next_linear
168,3000.0,2913.993798654658,2913.993798654658,4861.743710663,1879.4113871954507,spot_to_next_linear
24,3000.0,2900.990000000276,2900.990000000276,1835.574948621207,674.17617923839,flat_next_month
72,3000.0,2900.989999999362,2900.989999999362,3208.4550387108934,1222.3861266600127,flat_next_month
168,3000.0,2900.989999998104,2900.989999998104,4837.226299019824,1863.3532003083303,flat_next_month
