horizon_hours,forward_centered_TRY_MWh,legacy_analytic_TRY_MWh,legacy_reported_TRY_MWh
72,2916.1573422794963,5004.475968730859,5075.0
168,2913.993798654658,9749.464074819722,9946.0
336,2910.2075973146957,27432.378693526338,27642.0
720,2901.5112124100174,169063.093315368,167837.0
