n_harmonics,half_life_years,test_year,ratio_rmse,rmse_TRY,flat_rmse_TRY
1,0.15,2023,0.20020479837697108,433.2282626789522,551.1667166927741
1,0.15,2024,0.20426144781210373,423.494439098765,600.3546997224923
1,0.15,2025,0.21555303094168593,536.9813446862368,755.2883425828265
1,0.25,2023,0.19527159140542183,421.9248779934951,551.1667166927741
1,0.25,2024,0.20136413614746834,417.8736900531094,600.3546997224923
1,0.25,2025,0.20577792924003904,516.8893622063725,755.2883425828265
1,0.35,2023,0.19353576176653148,416.0973143655218,551.1667166927741
1,0.35,2024,0.20122652717178355,417.52986594895435,600.3546997224923
1,0.35,2025,0.20507461717884493,516.2571013463026,755.2883425828265
1,0.5,2023,0.19234273837326518,411.93721759119074,551.1667166927741
1,0.5,2024,0.20194370334048983,418.89775563933995,600.3546997224923
1,0.5,2025,0.20672549824503939,520.9287482066782,755.2883425828265
1,0.75,2023,0.19144461100919621,409.34086992257073,551.1667166927741
1,0.75,2024,0.20348427753681445,422.0876681264154,600.3546997224923
1,0.75,2025,0.2106121924892316,530.9167591787038,755.2883425828265
1,1.0,2023,0.19106688804456298,408.52378335856633,551.1667166927741
1,1.0,2024,0.20472248814237046,424.81637029142536,600.3546997224923
1,1.0,2025,0.2141368319903413,539.8526941910004,755.2883425828265
1,2.0,2023,0.19101965063462018,408.8398145247144,551.1667166927741
1,2.0,2024,0.2072644829195198,430.8712192857192,600.3546997224923
1,2.0,2025,0.22233882268731653,560.7136117951504,755.2883425828265
1,inf,2023,0.1925950543428676,412.97253464212724,551.1667166927741
1,inf,2024,0.21086814766115383,440.13483787088114,600.3546997224923
1,inf,2025,0.23362977579545752,589.8657481516848,755.2883425828265
2,0.15,2023,0.20066675908650267,437.37584645276763,551.1667166927741
2,0.15,2024,0.19914087630691138,414.88999805167913,600.3546997224923
2,0.15,2025,0.19610412064733262,494.0363381311722,755.2883425828265
2,0.25,2023,0.19527763499197276,422.98071413492625,551.1667166927741
2,0.25,2024,0.1976565744970056,411.5504953684902,600.3546997224923
2,0.25,2025,0.19533374996121164,492.0985871435371,755.2883425828265
2,0.35,2023,0.19355825187982287,418.6524718789455,551.1667166927741
2,0.35,2024,0.19797035635177587,411.9892303467668,600.3546997224923
2,0.35,2025,0.19638179477743478,494.7897557515634,755.2883425828265
2,0.5,2023,0.19188386234992763,414.5731752941933,551.1667166927741
2,0.5,2024,0.1988968284051642,413.7240104714396,600.3546997224923
2,0.5,2025,0.19883840608819894,501.0956799923749,755.2883425828265
2,0.75,2023,0.19026734105578283,410.632749326804,551.1667166927741
2,0.75,2024,0.20044032635877998,416.8686998209773,600.3546997224923
2,0.75,2025,0.2032701143419495,512.3974458003751,755.2883425828265
2,1.0,2023,0.18953842400113624,408.77779886427317,551.1667166927741
2,1.0,2024,0.20159320729153093,419.3791017867426,600.3546997224923
2,1.0,2025,0.20710268935518852,522.1354075604117,755.2883425828265
2,2.0,2023,0.18924633668915283,407.6084739847112,551.1667166927741
2,2.0,2024,0.20395469740896613,424.94737544461793,600.3546997224923
2,2.0,2025,0.21584014819043337,544.3799174933396,755.2883425828265
2,inf,2023,0.19113894431217,410.9617496252029,551.1667166927741
2,inf,2024,0.2075903122744425,434.02909210946416,600.3546997224923
2,inf,2025,0.2277906616491381,575.1038420942924,755.2883425828265
3,0.15,2023,0.19824231523331168,434.5070088316116,551.1667166927741
3,0.15,2024,0.20926524620269846,433.1271676948735,600.3546997224923
3,0.15,2025,0.195399854104225,492.6023554203966,755.2883425828265
3,0.25,2023,0.19533392311532902,425.47625355239137,551.1667166927741
3,0.25,2024,0.2027074662605978,421.0458694271942,600.3546997224923
3,0.25,2025,0.19494349078980278,491.574723559507,755.2883425828265
3,0.35,2023,0.1935979794306877,420.77381021787386,551.1667166927741
3,0.35,2024,0.20143015877712797,418.643502802687,600.3546997224923
3,0.35,2025,0.1962918571500924,495.067512776333,755.2883425828265
3,0.5,2023,0.1917410769246503,415.91868019158886,551.1667166927741
3,0.5,2024,0.2014871791889643,418.8261618242889,600.3546997224923
3,0.5,2025,0.19882816576449097,501.632698201704,755.2883425828265
3,0.75,2023,0.19000550864154298,411.3381969707592,551.1667166927741
3,0.75,2024,0.20242045569301345,420.8557482536921,600.3546997224923
3,0.75,2025,0.20326240164846507,512.9956257358234,755.2883425828265
3,1.0,2023,0.18927278772700656,409.24364612984476,551.1667166927741
3,1.0,2024,0.20322638030523046,422.6967016779699,600.3546997224923
3,1.0,2025,0.2070963800139263,522.749728627964,755.2883425828265
3,2.0,2023,0.18912573333108448,407.97955469202526,551.1667166927741
3,2.0,2024,0.20497788657480112,427.018051148442,600.3546997224923
3,2.0,2025,0.2158244419780156,544.9066662493044,755.2883425828265
3,inf,2023,0.19145122480944554,411.8346328655298,551.1667166927741
3,inf,2024,0.20803918038139374,434.8453412497547,600.3546997224923
3,inf,2025,0.2277351102076895,575.2689896195802,755.2883425828265
