horizon_hours,forward_centered_TRY_MWh,legacy_analytic_TRY_MWh,legacy_reported_TRY_MWh
72,2900.989999999362,5004.475968730859,5075.0
168,2900.989999998104,9749.464074819722,9946.0
336,2900.989999996918,27432.378693526338,27642.0
720,2900.9637838584654,169063.093315368,167837.0
