horizon_hours,forward_centered_TRY_MWh,legacy_analytic_TRY_MWh,legacy_reported_TRY_MWh
72,2916.1573422794963,-3041.116031723,-3041.116031723
168,2913.993798654658,-3107.767706559505,-3107.767706559505
336,2910.2075973146957,-3107.804037542059,-3107.804037542059
720,2901.5112124100174,-3107.8040376113277,-3107.8040376113277
