time_utc,delivery_month,hourly_forward_TRY_MWh,near_term_anchor_flag,realized_TRY_MWh,error_TRY_MWh,abs_error_TRY_MWh,sMAPE,MAPE_capped,signed_pct_vs_forward,model_residual_sd_TRY_MWh,month
2025-12-31 20:00:00+00:00,2025-12,2917.78,True,2917.78,0.0,0.0,0.0,0.0,0.0,0.0,2025-12
2025-12-31 21:00:00+00:00,2026-01,2917.7574630870085,True,3057.34,139.5825369129916,139.5825369129916,4.672142597683314,4.565489507643624,4.783897862617829,117.0564532114574,2026-01
2025-12-31 22:00:00+00:00,2026-01,2917.7349261740246,True,2910.11,-7.624926174024495,7.624926174024495,0.26167223975982673,0.26201505008485915,-0.26133032530213185,195.06869280381048,2026-01
2025-12-31 23:00:00+00:00,2026-01,2917.712389261057,True,2634.0,-283.71238926105707,283.71238926105707,10.2207163976958,10.771161323502547,-9.723795611427978,257.8622009923037,2026-01
2026-01-01 00:00:00+00:00,2026-01,2917.689852348108,True,2799.0,-118.68985234810816,118.68985234810816,4.152397818095965,4.24043774019679,-4.067939306591773,308.881855779944,2026-01
2026-01-01 01:00:00+00:00,2026-01,2917.66731543518,True,2469.99,-447.6773154351804,447.6773154351804,16.618626212644333,18.12466104863503,-15.343672428547864,350.5759330124572,2026-01
2026-01-01 02:00:00+00:00,2026-01,2917.6447785222726,True,1694.81,-1222.8347785222727,1222.8347785222727,53.023166068374614,72.15173255540579,-41.91170863307128,384.8170567617226,2026-01
2026-01-01 03:00:00+00:00,2026-01,2917.6222416093874,True,1799.98,-1117.6422416093874,1117.6422416093874,47.381792036291266,62.091925555249915,-38.30661233898757,413.0634530455094,2026-01
2026-01-01 04:00:00+00:00,2026-01,2917.5997046965217,True,1900.0,-1017.5997046965217,1017.5997046965217,42.245091625379196,53.55787919455377,-34.87797531163957,436.4605381137493,2026-01
2026-01-01 05:00:00+00:00,2026-01,2917.577167783674,True,2765.0,-152.5771677836742,152.5771677836742,5.369998973306773,5.518161583496355,-5.229584652240025,455.91385426603165,2026-01
2026-01-01 06:00:00+00:00,2026-01,2917.5546308708435,True,2995.01,77.45536912915668,77.45536912915668,2.62002612960016,2.586147262585323,2.6548044142720126,472.1435273606436,2026-01
2026-01-01 07:00:00+00:00,2026-01,2917.5320939580315,True,2486.99,-430.5420939580317,430.5420939580317,15.932661074301278,17.31177423142159,-14.757064535798902,485.7255217739742,2026-01
2026-01-01 08:00:00+00:00,2026-01,2917.5095570452368,True,2450.99,-466.519557045237,466.519557045237,17.37988620798189,19.03392331446628,-15.990335178806186,497.123114246635,2026-01
2026-01-01 09:00:00+00:00,2026-01,2917.487020132457,True,1800.01,-1117.477020132457,1117.477020132457,47.375844239582825,62.08171177562664,-38.3027246538263,506.7110195846097,2026-01
2026-01-01 10:00:00+00:00,2026-01,2917.4644832196886,True,2902.33,-15.134483219688718,15.134483219688718,0.5201036999958067,0.5214597657636698,-0.5187546688824274,514.793961971067,2026-01
