january_anchor_TRY_MWh,anchor_vs_spot_pct,max_abs_monthly_error_TRY_MWh,spot_consistent_at_t0,expected_spot_72h_TRY_MWh,expected_spot_168h_TRY_MWh,expected_spot_336h_TRY_MWh,expected_spot_720h_TRY_MWh,option_type,strike_TRY_MWh,option_value_TRY_MWh,option_value_pct_vs_mid
2334.22,-20.000137090527748,2.7284841053187847e-12,False,2334.2200000092166,2334.220000009102,2334.220000009271,2326.065870021826,call,3000.0,727.8342551964806,-41.20135580068842
2626.0,-10.000068545263874,5.9117155615240335e-12,False,2626.0000000010127,2626.0000000014657,2626.000000001785,2622.030217603523,call,3000.0,975.0871196413943,-21.226844983204995
2917.78,0.0,5.4569682106375694e-12,True,2917.779999997806,2917.7799999970316,2917.7799999983586,2917.9945652828933,call,3000.0,1237.841901131799,0.0
3209.56,10.00006854526385,3.637978807091713e-12,False,3209.560000000978,3209.560000000067,3209.559999999391,3213.9589129161177,call,3000.0,1512.008313484165,22.14874226681831
3501.34,20.000137090527726,4.092726157978177e-12,False,3501.3399999754315,3501.339999972887,3501.339999976424,3509.9232605254333,call,3000.0,1794.8061084653607,44.99477734792394
