valuation_date,delivery_month,horizon_months,n_delivery_hours,contract_name,quoted,near_term_anchored,forward_TRY_MWh,realized_TRY_MWh,realized_coverage,realized_n_hours,spot_at_valuation_TRY_MWh,ggf_quotation_date,ggf_staleness_days,bias_TRY_MWh,abs_error_TRY_MWh,sMAPE_pct,relative_bias_pct,realized_status
2022-12-31,2023-01,1,744,,False,True,3724.842109924838,3431.4889516129037,1.0,744,3475.27,2022-12-30,1,-293.3531583119343,293.3531583119343,8.198423348203766,-7.8755863914418045,ok
2022-12-31,2023-02,2,672,EBM0223,True,False,3974.409999999998,2802.7073065476193,1.0,672,3475.27,2022-12-30,1,-1171.7026934523788,1171.7026934523788,34.5782031047435,-29.481173141482113,ok
2022-12-31,2023-03,3,744,EBM0323,True,False,3953.849999999997,2126.2193413978493,1.0,744,3475.27,2022-12-30,1,-1827.6306586021478,1827.6306586021478,60.11874391491608,-46.224076750563356,ok
2022-12-31,2023-04,4,720,EBM0423,True,False,3876.4500000000035,1770.8197083333332,1.0,720,3475.27,2022-12-30,1,-2105.63029166667,2105.63029166667,74.57162134684368,-54.318520596594,ok
2022-12-31,2023-05,5,744,EBM0523,True,False,3452.869999999998,1907.2773118279567,1.0,744,3475.27,2022-12-30,1,-1545.5926881720413,1545.5926881720413,57.66978399125201,-44.76255081054434,ok
2022-12-31,2023-06,6,720,EBM0623,True,False,3476.459999999996,1623.916861111111,1.0,720,3475.27,2022-12-30,1,-1852.5431388888849,1852.5431388888849,72.64338261017488,-53.288205211303655,ok
2022-12-31,2023-07,7,744,EBM0723,True,False,3433.3300000000017,1977.3994086021507,1.0,744,3475.27,2022-12-30,1,-1455.930591397851,1455.930591397851,53.81642589936823,-42.405786551186466,ok
2023-06-30,2023-07,1,744,,False,True,2507.825559262555,1977.3994086021507,1.0,744,1932.0,2023-06-26,4,-530.4261506604043,530.4261506604043,23.652153658322558,-21.150839168270547,ok
2023-06-30,2023-08,2,744,EBM0823,True,False,3083.6499999999996,2251.0056451612904,1.0,744,1932.0,2023-06-26,4,-832.6443548387092,832.6443548387092,31.216423710270607,-27.001908609560402,ok
2023-06-30,2023-09,3,720,EBM0923,True,False,3224.6400000000012,2006.8421111111109,1.0,720,1932.0,2023-06-26,4,-1217.7978888888904,1217.7978888888904,46.55651545868491,-37.7653905207679,ok
2023-06-30,2023-10,4,744,EBM1023,True,False,4066.0299999999997,2249.8379704301074,1.0,744,1932.0,2023-06-26,4,-1816.1920295698924,1816.1920295698924,57.51203280603761,-44.667452762765954,ok
