valuation_date,ggf_quotation_date,ggf_staleness_days,delivery_month,horizon_months,spot_at_valuation_TRY_MWh,forward_TRY_MWh,realized_TRY_MWh,bias_TRY_MWh,relative_bias_pct,sMAPE_pct
2022-12-31,2022-12-30,1,2023-01,1,3475.27,3724.842109924838,3431.4889516129037,-293.3531583119343,-7.8755863914418045,8.198423348203766
2023-06-30,2023-06-26,4,2023-07,1,1932.0,2507.825559262555,1977.3994086021507,-530.4261506604043,-21.150839168270547,23.652153658322558
2023-12-31,2023-12-29,2,2024-01,1,1345.15,2182.910511768139,1942.9048655913978,-240.00564617674104,-10.994754245896159,11.634337662987782
2024-06-30,2024-06-28,2,2024-07,1,2424.99,2676.4288540589123,2588.8342876344086,-87.59456642450368,-3.272815053225233,3.3272626293216208
2024-12-31,2024-12-31,0,2025-01,1,1984.0,2158.935962480037,2508.796370967742,349.8604084877052,16.205223988478547,14.99059429696492
2025-06-30,2025-06-30,0,2025-07,1,3155.0,2878.5773541053995,2965.1591532258067,86.58179912040714,3.007798244397532,2.9632341914043088
2025-12-31,2025-12-31,0,2026-01,1,2917.78,2909.3936686005422,2894.9206989247314,-14.472969675810873,-0.49745656052013637,0.4986969608946789
