contract_name,delivery_year,delivery_month,price_TRY_MWh,quote_type,source,valuation_date,weight,spot_price_TRY_MWh,ggf_quotation_date,ggf_staleness_days
EBM0225,2025,2,2333.88,monthly_baseload,EPIAS_VEP_daily_reference_price,2024-12-31,1.0,1984.0,2024-12-31,0
EBM0325,2025,3,2534.8,monthly_baseload,EPIAS_VEP_daily_reference_price,2024-12-31,1.0,,2024-12-31,0
EBM0425,2025,4,1963.28,monthly_baseload,EPIAS_VEP_daily_reference_price,2024-12-31,1.0,,2024-12-31,0
EBM0525,2025,5,2278.55,monthly_baseload,EPIAS_VEP_daily_reference_price,2024-12-31,1.0,,2024-12-31,0
EBM0625,2025,6,2331.88,monthly_baseload,EPIAS_VEP_daily_reference_price,2024-12-31,1.0,,2024-12-31,0
EBM0725,2025,7,2588.83,monthly_baseload,EPIAS_VEP_daily_reference_price,2024-12-31,1.0,,2024-12-31,0
