contract_name,delivery_start_utc,delivery_end_utc,number_of_delivery_hours,market_forward_TRY_MWh,model_average_TRY_MWh,residual_TRY_MWh,relative_error_pct
EBM0825,2025-07-31T21:00:00+00:00,2025-08-31T21:00:00+00:00,744,2602.15,2602.150000000003,2.7284841053187847e-12,1.0485498934799241e-13
EBM0925,2025-08-31T21:00:00+00:00,2025-09-30T21:00:00+00:00,720,2421.84,2421.8400000000015,1.3642420526593924e-12,5.6330808503426825e-14
EBM1025,2025-09-30T21:00:00+00:00,2025-10-31T21:00:00+00:00,744,2445.38,2445.38,0.0,0.0
EBM1125,2025-10-31T21:00:00+00:00,2025-11-30T21:00:00+00:00,720,2578.8,2578.8000000000025,2.2737367544323206e-12,8.81703410280875e-14
EBM1225,2025-11-30T21:00:00+00:00,2025-12-31T21:00:00+00:00,744,2561.08,2561.08,0.0,0.0
EBM0126,2025-12-31T21:00:00+00:00,2026-01-31T21:00:00+00:00,744,2508.8,2508.7999999999997,-4.547473508864641e-13,-1.812609019796174e-14
