contract_name,delivery_start_utc,delivery_end_utc,number_of_delivery_hours,market_forward_TRY_MWh,model_average_TRY_MWh,residual_TRY_MWh,relative_error_pct
EBM0824,2024-07-31T21:00:00+00:00,2024-08-31T21:00:00+00:00,744,2927.85,2927.8500000000045,4.547473508864641e-12,1.553178444546217e-13
EBM0924,2024-08-31T21:00:00+00:00,2024-09-30T21:00:00+00:00,720,2610.26,2610.2600000000016,1.3642420526593924e-12,5.22646040110714e-14
EBM1024,2024-09-30T21:00:00+00:00,2024-10-31T21:00:00+00:00,744,2489.07,2489.069999999999,-1.3642420526593924e-12,-5.480930840271235e-14
EBM1124,2024-10-31T21:00:00+00:00,2024-11-30T21:00:00+00:00,720,2744.02,2744.0200000000013,1.3642420526593924e-12,4.971691360337725e-14
EBM1224,2024-11-30T21:00:00+00:00,2024-12-31T21:00:00+00:00,744,2754.77,2754.7700000000004,4.547473508864641e-13,1.6507634063332477e-14
EBM0125,2024-12-31T21:00:00+00:00,2025-01-31T21:00:00+00:00,744,2331.48,2331.480000000001,9.094947017729282e-13,3.900932891437749e-14
