hours,forward_TRY_MWh,residual_mean_TRY_MWh,residual_std_TRY_MWh,p_stress,expected_spot_TRY_MWh
0.0,2917.78,0.0,0.0,0.068023,2917.78
1.0,2917.7574630870085,0.0,116.94283850106581,0.2908031886764335,2917.7574630870085
2.0,2917.7349261740246,0.0,203.5421892820569,0.45675318576031215,2917.7349261740246
3.0,2917.7123892610575,0.0,282.3154884152028,0.5797081195424799,2917.7123892610575
4.0,2917.689852348108,0.0,354.2991153087372,0.6645613490747612,2917.689852348108
5.0,2917.6673154351797,0.0,419.9124128278253,0.7178329333941867,2917.6673154351797
6.0,2917.6447785222726,0.0,479.6800733846777,0.7481248603662466,2917.6447785222726
7.0,2917.6222416093874,0.0,534.249354776193,0.7626300549589957,2917.6222416093874
8.0,2917.5997046965217,0.0,584.2338458049841,0.7655264604832471,2917.5997046965217
9.0,2917.577167783674,0.0,630.087789859141,0.7574767940640844,2917.577167783674
10.0,2917.5546308708435,0.0,672.0012756048889,0.7357700811400086,2917.5546308708435
11.0,2917.5320939580315,0.0,709.9648557682508,0.7022509279171095,2917.5320939580315
12.0,2917.5095570452368,0.0,744.2173279729119,0.6663615739483678,2917.5095570452368
13.0,2917.4870201324566,0.0,775.3390999237045,0.6348984778978539,2917.4870201324566
14.0,2917.4644832196886,0.0,804.0003002359738,0.6135293380374367,2917.4644832196886
15.0,2917.441946306931,0.0,830.958668314125,0.6018950428158517,2917.441946306931
16.0,2917.4194093941824,0.0,856.6327073265458,0.593219069017399,2917.4194093941824
17.0,2917.3968724814413,0.0,881.2220795450595,0.5872172335656284,2917.3968724814413
18.0,2917.3743355687066,0.0,904.9435810875588,0.5835866412212652,2917.3743355687066
19.0,2917.351798655975,0.0,927.8803817101905,0.578432022510617,2917.351798655975
20.0,2917.3292617432444,0.0,950.0030743536748,0.5714266550849797,2917.3292617432444
21.0,2917.3067248305133,0.0,971.400694301087,0.5692519536487595,2917.3067248305133
22.0,2917.2841879177818,0.0,992.410443875114,0.5760934795921719,2917.2841879177818
23.0,2917.261651005051,0.0,1013.3400345990639,0.5891023942093483,2917.261651005051
24.0,2917.239114092322,0.0,1034.3487281449598,0.6050020854779451,2917.239114092322
25.0,2917.216577179595,0.0,1055.5218070873448,0.6240086888620738,2917.216577179595
26.0,2917.194040266869,0.0,1077.0280609749707,0.6512096693928162,2917.194040266869
27.0,2917.1715033541445,0.0,1099.1402486451511,0.6852953515745508,2917.1715033541445
28.0,2917.1489664414216,0.0,1121.9104721329477,0.7179550445396702,2917.1489664414216
29.0,2917.1264295287006,0.0,1145.1495326823317,0.7434232583722167,2917.1264295287006
30.0,2917.1038926159795,0.0,1168.5678131275895,0.7600210229848093,2917.1038926159795
31.0,2917.0813557032557,0.0,1191.8858865898526,0.7681353064449242,2917.0813557032557
32.0,2917.0588187905287,0.0,1214.8609123636256,0.7681391228274683,2917.0588187905287
33.0,2917.0362818777967,0.0,1237.2597665828825,0.7587954721019405,2917.0362818777967
34.0,2917.013744965059,0.0,1258.795427044571,0.7365077717904931,2917.013744965059
35.0,2916.9912080523136,0.0,1279.1329134532232,0.7027098167581978,2916.9912080523136
36.0,2916.968671139562,0.0,1298.1245799338053,0.6666652490685278,2916.968671139562
37.0,2916.9461342268037,0.0,1315.8831023885273,0.6351048307931395,2916.9461342268037
38.0,2916.9235973140403,0.0,1332.6437145379346,0.6136697271512701,2916.9235973140403
39.0,2916.901060401273,0.0,1348.7539819235426,0.601989704032301,2916.901060401273
40.0,2916.8785234885017,0.0,1364.3991247428728,0.5932830303625272,2916.8785234885017
41.0,2916.8559865757275,0.0,1379.6510940743617,0.5872604852707144,2916.8559865757275
42.0,2916.8334496629514,0.0,1394.6062616902393,0.5836158469554817,2916.8334496629514
43.0,2916.810912750173,0.0,1409.2851513144005,0.5784518845404267,2916.810912750173
44.0,2916.7883758373932,0.0,1423.6388792527625,0.5714402929785696,2916.7883758373932
45.0,2916.7658389246117,0.0,1437.6998132164968,0.5692612602072067,2916.7658389246117
46.0,2916.743302011829,0.0,1451.674861379543,0.5760996896216681,2916.743302011829
47.0,2916.720765099045,0.0,1465.76247055079,0.589106438767757,2916.720765099045
48.0,2916.6982281862583,0.0,1480.0673018733792,0.6050046606271443,2916.6982281862583
49.0,2916.67569127347,0.0,1494.6466703271974,0.6240102820875784,2916.67569127347
50.0,2916.65315436068,0.0,1509.6199183190588,0.6512106027340824,2916.65315436068
51.0,2916.6306174478896,0.0,1525.1860232407494,0.6852958583661938,2916.6306174478896
52.0,2916.608080535099,0.0,1541.39100500642,0.7179553008157191,2916.608080535099
53.0,2916.58554362231,0.0,1558.10476311511,0.7434233811992156,2916.58554362231
54.0,2916.563006709526,0.0,1575.1170488007158,0.76002108008334,2916.563006709526
55.0,2916.540469796745,0.0,1592.2170947514426,0.76813533286872,2916.540469796745
56.0,2916.5179328839663,0.0,1609.2144792213,0.7681391353675777,2916.5179328839663
57.0,2916.495395971189,0.0,1625.9205466281448,0.758795478431257,2916.495395971189
58.0,2916.4728590584114,0.0,1642.1006673531658,0.736507775331219,2916.4728590584114
59.0,2916.4503221456334,0.0,1657.4781782655805,0.7027098189607466,2916.4503221456334
60.0,2916.4277852328564,0.0,1671.9169216232458,0.6666652505260906,2916.4277852328564
61.0,2916.4052483200794,0.0,1685.4834797673227,0.6351048317835807,2916.4052483200794
62.0,2916.3827114073015,0.0,1698.344590896809,0.613669727825102,2916.3827114073015
63.0,2916.360174494523,0.0,1710.760748281455,0.6019897044866507,2916.360174494523
64.0,2916.337637581744,0.0,1722.8699584320009,0.5932830306695253,2916.337637581744
65.0,2916.315100668963,0.0,1734.7232711312163,0.5872604854783116,2916.315100668963
66.0,2916.2925637561816,0.0,1746.392528924741,0.5836158470956619,2916.2925637561816
67.0,2916.2700268434,0.0,1757.890272331692,0.5784518846357596,2916.2700268434
68.0,2916.2474899306185,0.0,1769.1736488632075,0.5714402930440281,2916.2474899306185
69.0,2916.2249530178365,0.0,1780.265001863752,0.569261260251876,2916.2249530178365
70.0,2916.2024161050554,0.0,1791.3286160737289,0.5760996896514747,2916.2024161050554
71.0,2916.179879192275,0.0,1802.5243135114108,0.58910643878717,2916.179879192275
72.0,2916.1573422794963,0.0,1813.9376349673123,0.6050046606395045,2916.1573422794963
73.0,2916.13480536672,0.0,1825.6165097497826,0.6240102820952255,2916.13480536672
74.0,2916.1122684539473,0.0,1837.660407969517,0.6512106027385622,2916.1122684539473
75.0,2916.0897315411776,0.0,1850.2357178231334,0.6852958583686264,2916.0897315411776
76.0,2916.0671946284087,0.0,1863.3845859728715,0.7179553008169494,2916.0671946284087
77.0,2916.04465771564,0.0,1877.003540865956,0.7434233811998053,2916.04465771564
78.0,2916.0221208028715,0.0,1890.9208369256928,0.7600210800836141,2916.0221208028715
79.0,2915.9995838901045,0.0,1904.9618264444316,0.7681353328688469,2915.9995838901045
80.0,2915.977046977337,0.0,1918.9665106464197,0.768139135367638,2915.977046977337
81.0,2915.9545100645687,0.0,1932.774322878915,0.7587954784312876,2915.9545100645687
82.0,2915.931973151799,0.0,1946.1840533865611,0.7365077753312361,2915.931973151799
83.0,2915.909436239028,0.0,1958.9568452781853,0.7027098189607572,2915.909436239028
84.0,2915.8868993262563,0.0,1970.9708452859406,0.6666652505260975,2915.8868993262563
85.0,2915.864362413483,0.0,1982.2759356851016,0.6351048317835853,2915.864362413483
86.0,2915.841825500707,0.0,1993.0084070526616,0.613669727825105,2915.841825500707
87.0,2915.8192885879266,0.0,2003.386238256769,0.6019897044866527,2915.8192885879266
88.0,2915.796751675142,0.0,2013.5247247354794,0.5932830306695266,2915.796751675142
89.0,2915.7742147623503,0.0,2023.4657042341403,0.5872604854783123,2915.7742147623503
90.0,2915.7516778495506,0.0,2033.2692829311934,0.5836158470956624,2915.7516778495506
91.0,2915.7291409367435,0.0,2042.9450727102235,0.5784518846357597,2915.7291409367435
92.0,2915.7066040239292,0.0,2052.4550748765664,0.5714402930440282,2915.7066040239292
93.0,2915.6840671111095,0.0,2061.817350373403,0.569261260251876,2915.6840671111095
94.0,2915.661530198286,0.0,2071.1728522511903,0.5760996896514747,2915.661530198286
95.0,2915.638993285461,0.0,2080.6596345662992,0.58910643878717,2915.638993285461
96.0,2915.6164563726347,0.0,2090.3522330276473,0.6050046606395044,2915.6164563726347
97.0,2915.5939194598104,0.0,2100.292990251902,0.6240102820952254,2915.5939194598104
98.0,2915.5713825469893,0.0,2110.5693820446727,0.6512106027385621,2915.5713825469893
99.0,2915.5488456341727,0.0,2121.3278155809608,0.6852958583686262,2915.5488456341727
100.0,2915.5263087213616,0.0,2132.6072050990597,0.7179553008169491,2915.5263087213616
101.0,2915.503771808555,0.0,2144.3193368741954,0.7434233811998051,2915.503771808555
102.0,2915.4812348957526,0.0,2156.3155092564907,0.7600210800836139,2915.4812348957526
103.0,2915.4586979829533,0.0,2168.443378256965,0.7681353328688467,2915.4586979829533
104.0,2915.436161070157,0.0,2180.562381145863,0.7681391353676378,2915.436161070157
105.0,2915.4136241573638,0.0,2192.5304763279833,0.7587954784312874,2915.4136241573638
106.0,2915.3910872445736,0.0,2204.1688273759887,0.7365077753312359,2915.3910872445736
