maturity_h,strike,F_T,cap,call_v2,call_se,put_v2,call_v1,call_upper_bound
24,2000,2420.719660800163,3400.0,465.50544204131796,7.5378288046155,81.0951746285377,1023.2544,1398.4665938006976
24,2600,2420.719660800163,3400.0,120.19586401749557,3.9698848024722992,335.1284225193001,586.6869,799.123767886113
24,3000,2420.719660800163,3400.0,28.019002347678768,1.6246600537757496,642.5134447925398,368.1691,399.5618839430565
24,3400,2420.719660800163,3400.0,0.0,0.0,1014.0563263879175,212.9715,0.0
24,4000,2420.719660800163,3400.0,0.0,0.0,1613.3991523025024,80.2699,0.0
72,2000,2570.2630149483944,3400.0,587.3107834784729,7.586341356396211,41.35147581503682,1274.5907,1395.4048181366095
72,2600,2570.2630149483944,3400.0,169.26389535489824,4.474608354735209,221.3352240357234,896.5372,797.3741817923483
72,3000,2570.2630149483944,3400.0,41.14671381336504,1.891457112314976,491.90513339036437,687.041,398.68709089617414
72,3400,2570.2630149483944,3400.0,0.0,0.0,849.4455104731735,512.4047,0.0
72,4000,2570.2630149483944,3400.0,0.0,0.0,1447.4761468174347,312.7702,0.0
168,2000,2703.161496658557,3400.0,709.2394003642227,7.885939451635685,27.768815712075508,1627.8936,1389.3013623090999
168,2600,2703.161496658557,3400.0,245.82711189634023,5.141066866349663,159.77139680523587,1278.7934,793.886492748057
168,3000,2703.161496658557,3400.0,70.3990819056246,2.440384334073558,381.28661318854876,1073.9036,396.9432463740285
168,3400,2703.161496658557,3400.0,0.0,0.0,707.8307776569527,891.5112,0.0
168,4000,2703.161496658557,3400.0,0.0,0.0,1303.2456472179954,659.2688,0.0
336,2000,2697.2731341906847,3400.0,709.3374097727416,7.553282840301954,21.254329050476347,2058.4027,1378.684482367086
336,2600,2697.2731341906847,3400.0,238.8011816163743,5.024099122149372,141.5828790514316,1727.0802,787.8197042097635
336,3000,2697.2731341906847,3400.0,66.12791230328662,2.347883945777569,362.81946184322567,1525.7826,393.90985210488174
336,3400,2697.2731341906847,3400.0,0.0,0.0,690.6014016448208,1340.2227,0.0
336,4000,2697.2731341906847,3400.0,0.0,0.0,1281.4661798021434,1091.1433,0.0
