model,mu0,mu1,sigma0,sigma1,phi,loglik,swapped_labels,ambiguous_labels
M0,-0.00021261171936217644,0.0009546525286686061,0.006122693643334371,0.16425519044118927,0.9991806029135467,91921.42279559572,False,False
M8,-0.004322337884887134,-0.0006432291464198998,0.09187582846981068,0.0034584191631060993,0.999995891446966,99236.28359102552,True,False
M9,-0.004266079129195057,-0.0006783308737843181,0.0924066543979969,0.0035348069642223727,0.999995891734239,100515.67695414889,False,False
