model,covariate,gamma01,gamma10,ame_p01,ame_p10
M9,RD_lag1,0.07769839363017603,-0.5837780825414551,0.00863827243758958,-0.11458439852226644
M9,RD_Ramp_1h_lag1,0.4055443473030015,-0.06939531482057137,0.0450871941343095,-0.01362096427868852
