valuation_date,contract_name,price_TRY_MWh,delivery_year,delivery_month,delivery_month_label,quote_type,source
2022-01-14,EBM0622,1148.49,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-14,EBM0722,1264.2,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-17,EBM0222,1219.5,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-17,EBM0322,1179.25,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-17,EBM0422,1094.06,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-17,EBM0522,1052.9,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-17,EBM0622,1057.67,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-17,EBM0722,1246.25,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-18,EBM0222,1219.5,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-18,EBM0322,1179.25,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-18,EBM0422,1094.06,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-18,EBM0522,1052.9,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-18,EBM0622,1057.67,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-18,EBM0722,1246.25,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-19,EBM0222,1219.5,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-19,EBM0322,1179.25,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-19,EBM0422,1094.06,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-19,EBM0522,1052.9,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-19,EBM0622,1057.67,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-19,EBM0722,1246.25,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-20,EBM0222,1219.5,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-20,EBM0322,1179.25,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-20,EBM0422,1094.06,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-20,EBM0522,1052.9,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-20,EBM0622,1057.67,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-20,EBM0722,1246.25,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-21,EBM0222,1219.5,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-21,EBM0322,1179.25,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-21,EBM0422,1094.06,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-21,EBM0522,1052.9,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-21,EBM0622,1057.67,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-21,EBM0722,1246.25,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-24,EBM0222,1219.5,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-24,EBM0322,1179.25,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-24,EBM0422,1094.06,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-24,EBM0522,1052.9,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-24,EBM0622,1057.67,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-24,EBM0722,1246.25,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-25,EBM0222,1219.5,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-25,EBM0322,1179.25,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-25,EBM0422,1094.06,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-25,EBM0522,1052.9,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-25,EBM0622,1057.67,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-25,EBM0722,1246.25,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-26,EBM0222,1219.5,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-26,EBM0322,1179.25,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-26,EBM0422,1094.06,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-26,EBM0522,1052.9,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-26,EBM0622,1057.67,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-26,EBM0722,1246.25,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-27,EBM0222,1182.5,2022,2,2022-02,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-27,EBM0322,1145.0,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-27,EBM0422,1080.65,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-27,EBM0522,1042.5,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-27,EBM0622,1085.17,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-27,EBM0722,1229.25,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-28,EBM0322,1123.0,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-28,EBM0422,1070.85,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-28,EBM0522,1035.24,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-28,EBM0622,1045.72,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-28,EBM0722,1206.0,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-28,EBM0822,1466.44,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-31,EBM0322,1123.0,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-31,EBM0422,1070.85,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-31,EBM0522,1035.24,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-31,EBM0622,1045.72,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-31,EBM0722,1206.0,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-01-31,EBM0822,1466.44,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-01,EBM0322,1084.8,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-01,EBM0422,1037.93,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-01,EBM0522,1001.43,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-01,EBM0622,1032.01,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-01,EBM0722,1211.4,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-01,EBM0822,1386.4,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-02,EBM0322,1143.0,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-02,EBM0422,1078.45,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-02,EBM0522,1066.24,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-02,EBM0622,1080.45,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-02,EBM0722,1246.4,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-02,EBM0822,1367.4,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-03,EBM0322,1158.8,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-03,EBM0422,1105.28,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-03,EBM0522,1102.88,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-03,EBM0622,1123.67,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-03,EBM0722,1258.4,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-03,EBM0822,1348.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-04,EBM0322,1158.8,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-04,EBM0422,1105.28,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-04,EBM0522,1102.88,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-04,EBM0622,1123.67,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-04,EBM0722,1258.4,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-04,EBM0822,1348.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-07,EBM0322,1160.8,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-07,EBM0422,1115.3,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-07,EBM0522,1093.61,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-07,EBM0622,1107.87,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-07,EBM0722,1220.8,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-07,EBM0822,1309.8,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-08,EBM0322,1162.2,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-08,EBM0422,1119.46,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-08,EBM0522,1090.03,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-08,EBM0622,1105.85,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-08,EBM0722,1218.2,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-08,EBM0822,1312.0,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-09,EBM0322,1164.6,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-09,EBM0422,1131.56,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-09,EBM0522,1090.57,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-09,EBM0622,1134.76,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-09,EBM0722,1247.8,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-09,EBM0822,1352.6,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-10,EBM0322,1164.6,2022,3,2022-03,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-10,EBM0422,1131.56,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-10,EBM0522,1090.57,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-10,EBM0622,1134.76,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
