contract_name,delivery_start_utc,delivery_end_utc,number_of_delivery_hours,market_forward_TRY_MWh,model_average_TRY_MWh,residual_TRY_MWh,relative_error_pct,acceptance_passed
EBM0226,2026-01-31T21:00:00+00:00,2026-02-28T21:00:00+00:00,672,2900.99,2900.990000000001,1.3642420526593924e-12,4.702677543388266e-14,True
EBM0326,2026-02-28T21:00:00+00:00,2026-03-31T21:00:00+00:00,744,2556.31,2556.310000000001,9.094947017729282e-13,3.5578419744589986e-14,True
EBM0426,2026-03-31T21:00:00+00:00,2026-04-30T21:00:00+00:00,720,2500.66,2500.6600000000008,9.094947017729282e-13,3.637018634172292e-14,True
EBM0526,2026-04-30T21:00:00+00:00,2026-05-31T21:00:00+00:00,744,2506.25,2506.25,0.0,0.0,True
EBM0626,2026-05-31T21:00:00+00:00,2026-06-30T21:00:00+00:00,720,2245.33,2245.330000000002,2.2737367544323206e-12,1.012651483048069e-13,True
EBM0726,2026-06-30T21:00:00+00:00,2026-07-31T21:00:00+00:00,744,3558.19,3558.189999999998,-2.2737367544323206e-12,-6.390149920134451e-14,True
