horizon_hours,forward_centered_TRY_MWh,legacy_analytic_TRY_MWh,legacy_reported_TRY_MWh
72,2917.7799999976055,5004.475968730859,5075.0
168,2917.779999998569,9749.464074819722,9946.0
336,2917.779999996737,27432.378693526338,27642.0
720,2917.99456526889,169063.093315368,167837.0
